DICTIONARY OVERLAP REVIEW - ALL 26,721 WORDS
============================================================

SUMMARY:
Total overlapping words: 26,721
Found in first names: 21,430
Found in last names: 13,512
Found in both: 8,221

CLAUDE'S RECOMMENDATIONS:
SUGGESTED REMOVALS: 78 words
SUGGESTED KEEPS: 26643 words
UNCERTAIN/NEED REVIEW: 15 words

REMOVE (78 words):
----------------------------------------
  arm         , bed         , bike        , blue        , boat        , buffalo     , bus         , cat         , chest       , cow         
  dance       , deer        , door        , drink       , drive       , duck        , ear         , eat         , elk         , eye         
  face        , feel        , finger      , floor       , fly         , foot        , format      , forty       , four        , hand        
  hear        , idea        , jump        , knee        , listen      , method      , moose       , mouse       , mouth       , neck        
  nine        , nose        , orange      , paper       , pattern     , pen         , pencil      , pig         , pink        , plane       
  play        , purple      , rabbit      , radio       , rat         , red         , roof        , run         , script      , sheep       
  sing        , six         , sleep       , speak       , stairs      , string      , style       , swim        , ten         , toe         
  touch       , train       , truck       , wake        , walk        , wall        , window      , yellow      


KEEP (26643 words):
----------------------------------------
  aa          , aaa         , aah         , aahed       , aal         , aam         , aani        , aaron       , aaru        , aas         
  ab          , aba         , abaca       , abacus      , abada       , abaddon     , abadia      , abaka       , abama       , abanet      
  abanga      , abas        , abase       , abash       , abassi      , abate       , abay        , abba        , abbas       , abbasi      
  abbassi     , abbate      , abbe        , abbes       , abbess      , abbey       , abbie       , abbot       , abbott      , abby        
  abd         , abdal       , abdali      , abdat       , abdiel      , abdom       , abe         , abeam       , abear       , abed        
  abede       , abel        , abele       , abeles      , abelia      , abelian     , abend       , aberdeen    , abernethy   , aberr       
  abesse      , abet        , abey        , abib        , abidal      , abide       , abidi       , abie        , abies       , abiezer     
  abigail     , abilene     , ability     , abilla      , abir        , abit        , abkar       , abl         , ablaze      , able        
  abler       , ables       , ably        , abn         , abner       , abnet       , abo         , abode       , abody       , abogado     
  abondance   , abongo      , aborad      , abos        , abote       , abr         , abracadabra , abraham     , abram       , abrash      
  abri        , abrim       , abs         , absalom     , absee       , absey       , absi        , abt         , abu         , abuna       
  abundance   , abundant    , abush       , abut        , aby         , abye        , abys        , abyssinia   , ac          , acacia      
  academia    , academie    , acapulco    , accademia   , acce        , accel       , accent      , accept      , acceptance  , accessor    
  according   , accounting  , accra       , accurate    , ace         , aced        , aceite      , acer        , acerra      , aces        
  ach         , acharya     , ache        , achen       , acher       , aches       , achiever    , achill      , achilleas   , achilles    
  aching      , achor       , achter      , achy        , acid        , acidic      , ack         , acker       , ackey       , ackman      
  acle        , acock       , acor        , acorn       , acoustic    , acre        , acreman     , acres       , acrylic     , act         
